A2M183CETUMR96_speedup,A2M183CETUMR96_rubble,A2M183CETUMR96_triage_red,A2M183CETUMR96_triage_yellow,A2M183CETUMR96_triage_green,A2M183CETUMR96_effort,A2M183CETUMR96_timestamp,A2M183CETUMR96_x,A2M183CETUMR96_y,A2M183CETUMR96_event,A33VGSEJ44ORMF_speedup,A33VGSEJ44ORMF_rubble,A33VGSEJ44ORMF_triage_red,A33VGSEJ44ORMF_triage_yellow,A33VGSEJ44ORMF_triage_green,A33VGSEJ44ORMF_effort,A33VGSEJ44ORMF_timestamp,A33VGSEJ44ORMF_x,A33VGSEJ44ORMF_y,A33VGSEJ44ORMF_event,A2JDYN6QM8M5UN_speedup,A2JDYN6QM8M5UN_rubble,A2JDYN6QM8M5UN_triage_red,A2JDYN6QM8M5UN_triage_yellow,A2JDYN6QM8M5UN_triage_green,A2JDYN6QM8M5UN_effort,A2JDYN6QM8M5UN_timestamp,A2JDYN6QM8M5UN_x,A2JDYN6QM8M5UN_y,A2JDYN6QM8M5UN_event,A1WH32GYQOHIRQ_speedup,A1WH32GYQOHIRQ_rubble,A1WH32GYQOHIRQ_triage_red,A1WH32GYQOHIRQ_triage_yellow,A1WH32GYQOHIRQ_triage_green,A1WH32GYQOHIRQ_effort,A1WH32GYQOHIRQ_timestamp,A1WH32GYQOHIRQ_x,A1WH32GYQOHIRQ_y,A1WH32GYQOHIRQ_event,publish,A2M183CETUMR96_triage,A2M183CETUMR96_exploration,A2M183CETUMR96_move,A33VGSEJ44ORMF_triage,A33VGSEJ44ORMF_exploration,A33VGSEJ44ORMF_move,A2JDYN6QM8M5UN_triage,A2JDYN6QM8M5UN_exploration,A2JDYN6QM8M5UN_move,A1WH32GYQOHIRQ_triage,A1WH32GYQOHIRQ_exploration,A1WH32GYQOHIRQ_move
0,0,0,0,0,2,1655837163.649968,16,6,,0,0,0,0,0,1,1655837163.031574,16,5,,0,0,0,0,0,3,1655837163.670277,13,4,,0,0,0,0,0,0,1655837162.741115,12,6,,False,,,,,,,,,,,,
0,0,0,0,0,2,1655837163.649968,16,6,,0,0,0,0,0,1,1655837163.031574,16,5,,0,0,0,0,0,3,1655837163.670277,13,4,,0,0,0,0,0,0,1655837163.743256,12,6,,False,,,,,,,,,,,,
0,0,0,0,0,2,1655837163.649968,16,6,,0,0,0,0,0,1,1655837163.939238,16,5,,0,0,0,0,0,4,1655837163.670277,14,4,,0,0,0,0,0,0,1655837163.743256,12,6,,False,,,,,,,,,,,,
0,0,0,0,0,2,1655837163.649968,16,6,,0,0,0,0,0,1,1655837163.939238,16,5,,0,0,0,0,0,6,1655837164.680639,16,4,,0,0,0,0,0,0,1655837163.743256,12,6,,False,,,,,,,,,,,,
0,0,0,0,0,2,1655837164.692092,16,6,,0,0,0,0,0,1,1655837163.939238,16,5,,0,0,0,0,0,6,1655837164.680639,16,4,,0,0,0,0,0,0,1655837163.743256,12,6,,False,,,,,,,,,,,,
0,0,0,0,0,2,1655837164.692092,16,6,,0,0,0,0,0,1,1655837163.939238,16,5,,0,0,0,0,0,6,1655837164.680639,16,4,,0,0,0,0,0,0,1655837164.864148,12,6,,False,,,,,,,,,,,,
0,0,0,0,0,2,1655837164.692092,16,6,,0,0,0,0,0,1,1655837164.895556,16,5,,0,0,0,0,0,6,1655837164.680639,16,4,,0,0,0,0,0,0,1655837164.864148,12,6,,False,,,,,,,,,,,,
0,0.2,0,0,0,3,1655837165.315044,16,6,door,0,0,0,0,0,1,1655837164.895556,16,5,,0,0,0,0,0,6,1655837164.680639,16,4,,0,0,0,0,0,0,1655837164.864148,12,6,,False,,,,,,,,,,,,
0,0.2,0,0,0,4,1655837165.608221,17,6,,0,0,0,0,0,1,1655837164.895556,16,5,,0,0,0,0,0,6,1655837164.680639,16,4,,0,0,0,0,0,0,1655837164.864148,12,6,,False,,,,,,,,,,,,
0,0.2,0,0,0,4,1655837165.608221,17,6,,0,0,0,0,0,1,1655837164.895556,16,5,,0,0,0,0,0,6,1655837165.80822,16,4,,0,0,0,0,0,0,1655837164.864148,12,6,,False,,,,,,,,,,,,
0,0.2,0,0,0,4,1655837165.608221,17,6,,0,0,0,0,0,1,1655837164.895556,16,5,,0,0,0,0,0,7,1655837165.80822,15,4,,0,0,0,0,0,0,1655837165.977751,12,6,,False,,,,,,,,,,,,
0,0.2,0,0,0,5,1655837165.608221,18,6,,0,0,0,0,0,1,1655837166.051247,16,5,,0,0,0,0,0,7,1655837165.80822,15,4,,0,0,0,0,0,0,1655837165.977751,12,6,,False,,,,,,,,,,,,
